,ip,date,asn,dns_name,port,pep_link
10612,98.97.142.188,2025-05-17,14593,['customer.lsancax1.pop.starlinkisp.net'],[ 22  80 443 500],[False False False False]
10613,14.1.74.171,2025-05-17,14593,['customer.mlbeaus1.pop.starlinkisp.net'],[500],[False]
10614,148.222.218.99,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[ 80 500],[False False]
10615,129.222.17.252,2025-05-17,14593,['customer.chcoilx1.pop.starlinkisp.net'],[500],[False]
10616,129.222.208.55,2025-05-17,14593,['customer.nwyynyx1.pop.starlinkisp.net'],[123 161 500],[False False False]
10617,209.198.134.234,2025-05-17,14593,[],[ 2375 22222],[False False]
10618,129.222.132.142,2025-05-17,14593,['customer.snjecax1.pop.starlinkisp.net'],[500],[False]
10619,143.105.139.6,2025-05-17,14593,[],[ 443 8000 8080],[False False False]
10620,14.1.86.84,2025-05-17,14593,[],[123],[False]
10621,129.222.183.55,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[443],[False]
10622,200.189.17.215,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[  161   443 32015],[False  True  True]
10623,209.198.133.199,2025-05-17,14593,['customer.mlnnita1.pop.starlinkisp.net'],[3389 5000],[False False]
10624,129.222.115.63,2025-05-17,14593,['customer.mplsmnx1.pop.starlinkisp.net'],[500],[False]
10625,217.65.137.44,2025-05-17,14593,['customer.mdrdesp1.pop.starlinkisp.net'],[ 161 2000],[False False]
10626,129.222.251.141,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[ 80 443],[False False]
10627,169.155.240.214,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[5312],[ True]
10628,129.222.42.137,2025-05-17,14593,['customer.mplsmnx1.pop.starlinkisp.net'],[123],[False]
10629,206.83.108.34,2025-05-17,14593,['customer.sngesgp1.pop.starlinkisp.net'],[8989],[False]
10630,129.222.39.78,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[500],[False]
10631,65.181.27.21,2025-05-17,14593,['customer.chrhnzl1.pop.starlinkisp.net'],[80],[False]
10632,129.222.35.206,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[541],[False]
10633,217.142.23.231,2025-05-17,14593,['customer.sfiabgr1.pop.starlinkisp.net'],[  21   22   80 2000 8728 8729],[False False False False False False]
10634,98.97.65.190,2025-05-17,14593,[],[161],[False]
10635,145.224.113.48,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[ 443 1194 1194 1701 1723],[False False False False False]
10636,129.222.168.191,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[  53 8887],[False False]
10637,148.222.219.152,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[ 22 500 830],[False False False]
10638,129.222.63.124,2025-05-17,14593,['customer.chcoilx1.pop.starlinkisp.net'],[500],[False]
10639,129.222.204.26,2025-05-17,14593,['customer.lgosnga1.pop.starlinkisp.net'],[ 500 1701],[False False]
10640,116.91.210.113,2025-05-17,14593,['customer.sydyaus1.pop.starlinkisp.net'],[500],[False]
10641,169.155.240.237,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[ 5312 32015],[ True  True]
10642,129.222.238.248,2025-05-17,14593,['customer.nwyynyx1.pop.starlinkisp.net'],[541],[False]
10643,209.198.141.206,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[3306 7443 8080 8081],[False False False False]
10644,65.181.6.215,2025-05-17,14593,['customer.tkyojpn1.pop.starlinkisp.net'],[  21   22   80 2000],[False False False False]
10645,129.222.205.55,2025-05-17,14593,['customer.lgosnga1.pop.starlinkisp.net'],[  25  500 8443],[False False False]
10646,129.222.54.32,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[500],[False]
10647,129.222.183.78,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 80 443],[False False]
10648,129.222.177.119,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[ 80 443],[False False]
10649,217.142.17.12,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[ 443 4444],[False False]
10650,129.222.51.93,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[500],[False]
10651,143.105.63.107,2025-05-17,14593,['customer.dllstxx1.pop.starlinkisp.net'],[443 500],[False False]
10652,145.224.86.235,2025-05-17,14593,['customer.mlnnita1.pop.starlinkisp.net'],[  443 32015],[ True  True]
10653,143.105.77.197,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[443],[False]
10654,129.222.183.173,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[500],[False]
10655,169.155.246.60,2025-05-17,14593,[],[541],[False]
10656,98.97.132.100,2025-05-17,14593,[],[500],[False]
10657,14.1.74.191,2025-05-17,14593,['customer.mlbeaus1.pop.starlinkisp.net'],[500],[False]
10658,129.222.39.8,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[500],[False]
10659,212.105.146.109,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[500],[False]
10660,98.97.115.222,2025-05-17,14593,['customer.tmpeazx1.pop.starlinkisp.net'],[443],[False]
10661,98.97.119.84,2025-05-17,14593,['customer.tmpeazx1.pop.starlinkisp.net'],[443 500],[False False]
10662,98.97.151.144,2025-05-17,14593,['customer.jhngzaf1.pop.starlinkisp.net'],[ 500 1701 2000 8092],[False False False False]
10663,14.1.94.21,2025-05-17,14593,['customer.mlbeaus1.pop.starlinkisp.net'],[541],[False]
10664,129.222.35.31,2025-05-17,14593,['customer.atlagax1.pop.starlinkisp.net'],[541],[False]
10665,209.198.141.152,2025-05-17,14593,['customer.frntdeu1.pop.starlinkisp.net'],[32015],[ True]
10666,66.9.185.79,2025-05-17,14593,['customer.lsancax1.pop.starlinkisp.net'],[500],[False]
10667,129.222.100.78,2025-05-17,14593,['customer.sltyutx1.pop.starlinkisp.net'],[541],[False]
10668,216.128.3.166,2025-05-17,14593,['customer.lndngbr1.pop.starlinkisp.net'],[  443 32015],[ True  True]
10669,188.92.250.155,2025-05-17,14593,[],[541],[False]
10670,98.97.133.39,2025-05-17,14593,['customer.nrbiken1.pop.starlinkisp.net'],[80],[False]
10671,129.224.194.78,2025-05-17,14593,['customer.dllstxx1.pop.starlinkisp.net'],[ 80 443],[False False]
10672,170.203.206.131,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[500],[False]
10673,98.97.99.145,2025-05-17,14593,['customer.sttlwax1.pop.starlinkisp.net'],[  264   500 18264],[False False False]
10674,129.222.168.17,2025-05-17,14593,['customer.sntochl1.pop.starlinkisp.net'],[ 22 161],[False False]
10675,200.189.16.254,2025-05-17,14593,['customer.limaper1.pop.starlinkisp.net'],[541],[False]
10676,129.222.29.96,2025-05-17,14593,['customer.chcoilx1.pop.starlinkisp.net'],[  22   80  123  161  500 1967],[False False False False False False]
10677,143.105.56.236,2025-05-17,14593,[],[500],[False]
10678,143.105.64.45,2025-05-17,14593,['customer.mmmiflx1.pop.starlinkisp.net'],[80],[False]
10679,148.222.222.237,2025-05-17,14593,[],[80],[False]
