dst,sec_last_ip,dns_trunc,subnet,country,region
129.222.4.122,206.224.68.25,ashnvax2,129.222.4.0/24,US,US-VA
129.222.6.194,206.224.68.31,ashnvax2,129.222.6.0/24,US,US-VA
98.97.152.94,,ashnvax2,98.97.152.0/24,US,US-VA
216.234.207.252,206.224.68.31,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.19,206.224.68.19,ashnvax2,98.97.155.0/24,US,US-VA
143.105.52.143,206.224.68.25,ashnvax2,143.105.52.0/24,US,US-VA
129.222.7.96,,ashnvax2,129.222.7.0/24,US,US-VA
216.234.196.176,,ashnvax2,216.234.196.0/24,US,US-VA
216.234.207.9,206.224.68.21,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.2,206.224.68.29,ashnvax2,98.97.155.0/24,US,US-VA
216.234.196.43,,ashnvax2,216.234.196.0/24,US,US-VA
98.97.155.206,,ashnvax2,98.97.155.0/24,US,US-VA
129.222.4.88,206.224.68.29,ashnvax2,129.222.4.0/24,US,US-VA
98.97.152.56,,ashnvax2,98.97.152.0/24,US,US-VA
98.97.155.151,,ashnvax2,98.97.155.0/24,US,US-VA
129.222.5.175,206.224.68.19,ashnvax2,129.222.5.0/24,US,US-VA
216.234.207.243,206.224.68.25,ashnvax2,216.234.207.0/24,US,US-VA
129.222.7.254,206.224.68.31,ashnvax2,129.222.7.0/24,US,US-VA
143.105.52.235,206.224.68.21,ashnvax2,143.105.52.0/24,US,US-VA
129.222.4.81,206.224.68.25,ashnvax2,129.222.4.0/24,US,US-VA
98.97.152.22,,ashnvax2,98.97.152.0/24,US,US-VA
129.222.162.151,206.224.68.25,ashnvax2,129.222.162.0/24,US,US-VA
143.105.51.192,206.224.68.31,ashnvax2,143.105.51.0/24,US,US-VA
98.97.155.0,206.224.68.19,ashnvax2,98.97.155.0/24,US,US-VA
129.222.4.196,206.224.68.21,ashnvax2,129.222.4.0/24,US,US-VA
129.222.7.220,206.224.68.21,ashnvax2,129.222.7.0/24,US,US-VA
143.105.52.24,,ashnvax2,143.105.52.0/24,US,US-VA
129.222.6.216,206.224.68.21,ashnvax2,129.222.6.0/24,US,US-VA
143.105.2.86,,ashnvax2,143.105.2.0/24,US,US-VA
216.234.206.192,206.224.68.31,ashnvax2,216.234.206.0/24,US,US-VA
216.234.207.205,206.224.68.19,ashnvax2,216.234.207.0/24,US,US-VA
216.234.196.149,206.224.68.19,ashnvax2,216.234.196.0/24,US,US-VA
216.234.207.119,,ashnvax2,216.234.207.0/24,US,US-VA
129.222.6.168,206.224.68.31,ashnvax2,129.222.6.0/24,US,US-VA
129.222.5.171,,ashnvax2,129.222.5.0/24,US,US-VA
143.105.51.67,,ashnvax2,143.105.51.0/24,US,US-VA
143.105.50.203,206.224.68.25,ashnvax2,143.105.50.0/24,US,US-VA
98.97.155.85,206.224.68.29,ashnvax2,98.97.155.0/24,US,US-VA
129.222.6.92,,ashnvax2,129.222.6.0/24,US,US-VA
129.222.162.67,206.224.68.19,ashnvax2,129.222.162.0/24,US,US-VA
216.234.207.128,206.224.68.31,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.77,,ashnvax2,98.97.155.0/24,US,US-VA
216.234.196.127,206.224.68.21,ashnvax2,216.234.196.0/24,US,US-VA
129.222.6.111,206.224.68.29,ashnvax2,129.222.6.0/24,US,US-VA
98.97.155.38,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
129.222.4.49,206.224.68.31,ashnvax2,129.222.4.0/24,US,US-VA
143.105.51.216,,ashnvax2,143.105.51.0/24,US,US-VA
98.97.152.17,206.224.68.31,ashnvax2,98.97.152.0/24,US,US-VA
216.234.207.206,206.224.68.25,ashnvax2,216.234.207.0/24,US,US-VA
216.234.207.71,,ashnvax2,216.234.207.0/24,US,US-VA
216.234.196.9,206.224.68.29,ashnvax2,216.234.196.0/24,US,US-VA
129.222.4.116,206.224.68.19,ashnvax2,129.222.4.0/24,US,US-VA
143.105.51.169,206.224.68.29,ashnvax2,143.105.51.0/24,US,US-VA
129.222.6.176,206.224.68.29,ashnvax2,129.222.6.0/24,US,US-VA
129.222.5.110,206.224.68.21,ashnvax2,129.222.5.0/24,US,US-VA
143.105.51.179,206.224.68.25,ashnvax2,143.105.51.0/24,US,US-VA
143.105.2.202,206.224.68.31,ashnvax2,143.105.2.0/24,US,US-VA
98.97.155.126,,ashnvax2,98.97.155.0/24,US,US-VA
216.234.207.194,,ashnvax2,216.234.207.0/24,US,US-VA
216.234.207.139,206.224.68.29,ashnvax2,216.234.207.0/24,US,US-VA
129.222.7.167,,ashnvax2,129.222.7.0/24,US,US-VA
143.105.51.242,,ashnvax2,143.105.51.0/24,US,US-VA
216.234.207.189,206.224.68.31,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.252,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
129.222.7.48,206.224.68.25,ashnvax2,129.222.7.0/24,US,US-VA
216.234.207.226,206.224.68.31,ashnvax2,216.234.207.0/24,US,US-VA
143.105.50.188,206.224.68.19,ashnvax2,143.105.50.0/24,US,US-VA
143.105.2.237,206.224.68.19,ashnvax2,143.105.2.0/24,US,US-VA
129.222.7.156,,ashnvax2,129.222.7.0/24,US,US-VA
129.222.5.7,,ashnvax2,129.222.5.0/24,US,US-VA
129.222.4.151,206.224.68.31,ashnvax2,129.222.4.0/24,US,US-VA
216.234.196.237,206.224.68.31,ashnvax2,216.234.196.0/24,US,US-VA
216.234.207.138,206.224.68.25,ashnvax2,216.234.207.0/24,US,US-VA
216.234.196.155,206.224.68.25,ashnvax2,216.234.196.0/24,US,US-VA
129.222.7.155,206.224.68.25,ashnvax2,129.222.7.0/24,US,US-VA
129.222.4.93,,ashnvax2,129.222.4.0/24,US,US-VA
143.105.2.65,,ashnvax2,143.105.2.0/24,US,US-VA
129.222.7.215,,ashnvax2,129.222.7.0/24,US,US-VA
98.97.152.239,,ashnvax2,98.97.152.0/24,US,US-VA
98.97.155.63,,ashnvax2,98.97.155.0/24,US,US-VA
129.222.4.141,206.224.68.19,ashnvax2,129.222.4.0/24,US,US-VA
216.234.196.158,,ashnvax2,216.234.196.0/24,US,US-VA
129.222.162.25,206.224.68.21,ashnvax2,129.222.162.0/24,US,US-VA
143.105.50.115,206.224.68.25,ashnvax2,143.105.50.0/24,US,US-VA
98.97.152.155,206.224.68.25,ashnvax2,98.97.152.0/24,US,US-VA
98.97.155.214,206.224.68.31,ashnvax2,98.97.155.0/24,US,US-VA
129.222.7.26,206.224.68.29,ashnvax2,129.222.7.0/24,US,US-VA
216.234.206.107,,ashnvax2,216.234.206.0/24,US,US-VA
129.222.5.182,,ashnvax2,129.222.5.0/24,US,US-VA
216.234.206.197,,ashnvax2,216.234.206.0/24,US,US-VA
129.222.5.180,206.224.68.19,ashnvax2,129.222.5.0/24,US,US-VA
129.222.4.79,206.224.68.25,ashnvax2,129.222.4.0/24,US,US-VA
143.105.51.240,206.224.68.31,ashnvax2,143.105.51.0/24,US,US-VA
98.97.155.179,,ashnvax2,98.97.155.0/24,US,US-VA
216.234.196.128,206.224.68.25,ashnvax2,216.234.196.0/24,US,US-VA
129.222.162.159,,ashnvax2,129.222.162.0/24,US,US-VA
143.105.2.158,206.224.68.29,ashnvax2,143.105.2.0/24,US,US-VA
129.222.162.111,206.224.68.29,ashnvax2,129.222.162.0/24,US,US-VA
216.234.206.5,206.224.68.19,ashnvax2,216.234.206.0/24,US,US-VA
216.234.207.4,206.224.68.21,ashnvax2,216.234.207.0/24,US,US-VA
129.222.6.158,,ashnvax2,129.222.6.0/24,US,US-VA
216.234.207.66,206.224.68.29,ashnvax2,216.234.207.0/24,US,US-VA
129.222.5.226,,ashnvax2,129.222.5.0/24,US,US-VA
129.222.4.40,206.224.68.25,ashnvax2,129.222.4.0/24,US,US-VA
216.234.207.57,206.224.68.19,ashnvax2,216.234.207.0/24,US,US-VA
129.222.7.47,,ashnvax2,129.222.7.0/24,US,US-VA
216.234.207.109,,ashnvax2,216.234.207.0/24,US,US-VA
129.222.162.212,206.224.68.31,ashnvax2,129.222.162.0/24,US,US-VA
98.97.152.68,,ashnvax2,98.97.152.0/24,US,US-VA
129.222.4.234,206.224.68.19,ashnvax2,129.222.4.0/24,US,US-VA
143.105.52.139,,ashnvax2,143.105.52.0/24,US,US-VA
216.234.206.55,,ashnvax2,216.234.206.0/24,US,US-VA
143.105.50.241,206.224.68.31,ashnvax2,143.105.50.0/24,US,US-VA
216.234.206.241,206.224.68.19,ashnvax2,216.234.206.0/24,US,US-VA
143.105.50.119,,ashnvax2,143.105.50.0/24,US,US-VA
216.234.196.239,206.224.68.25,ashnvax2,216.234.196.0/24,US,US-VA
98.97.155.121,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
143.105.51.94,206.224.68.31,ashnvax2,143.105.51.0/24,US,US-VA
216.234.207.91,206.224.68.21,ashnvax2,216.234.207.0/24,US,US-VA
98.97.152.119,206.224.68.21,ashnvax2,98.97.152.0/24,US,US-VA
129.222.162.114,,ashnvax2,129.222.162.0/24,US,US-VA
129.222.4.228,,ashnvax2,129.222.4.0/24,US,US-VA
129.222.4.65,206.224.68.21,ashnvax2,129.222.4.0/24,US,US-VA
216.234.207.214,206.224.68.21,ashnvax2,216.234.207.0/24,US,US-VA
129.222.5.194,206.224.68.29,ashnvax2,129.222.5.0/24,US,US-VA
143.105.51.50,206.224.68.29,ashnvax2,143.105.51.0/24,US,US-VA
129.222.162.244,206.224.68.29,ashnvax2,129.222.162.0/24,US,US-VA
143.105.2.115,206.224.68.19,ashnvax2,143.105.2.0/24,US,US-VA
216.234.207.178,,ashnvax2,216.234.207.0/24,US,US-VA
216.234.207.151,206.224.68.19,ashnvax2,216.234.207.0/24,US,US-VA
216.234.196.105,206.224.68.19,ashnvax2,216.234.196.0/24,US,US-VA
143.105.52.112,206.224.68.19,ashnvax2,143.105.52.0/24,US,US-VA
143.105.2.56,206.224.68.29,ashnvax2,143.105.2.0/24,US,US-VA
143.105.51.102,206.224.68.31,ashnvax2,143.105.51.0/24,US,US-VA
129.222.4.235,,ashnvax2,129.222.4.0/24,US,US-VA
216.234.196.92,206.224.68.19,ashnvax2,216.234.196.0/24,US,US-VA
98.97.155.14,206.224.68.25,ashnvax2,98.97.155.0/24,US,US-VA
216.234.206.16,,ashnvax2,216.234.206.0/24,US,US-VA
129.222.7.23,,ashnvax2,129.222.7.0/24,US,US-VA
129.222.5.64,206.224.68.19,ashnvax2,129.222.5.0/24,US,US-VA
129.222.7.225,206.224.68.21,ashnvax2,129.222.7.0/24,US,US-VA
129.222.162.72,206.224.68.25,ashnvax2,129.222.162.0/24,US,US-VA
143.105.52.217,,ashnvax2,143.105.52.0/24,US,US-VA
98.97.152.47,206.224.68.29,ashnvax2,98.97.152.0/24,US,US-VA
216.234.206.188,206.224.68.31,ashnvax2,216.234.206.0/24,US,US-VA
129.222.7.46,,ashnvax2,129.222.7.0/24,US,US-VA
216.234.206.133,206.224.68.21,ashnvax2,216.234.206.0/24,US,US-VA
216.234.207.25,,ashnvax2,216.234.207.0/24,US,US-VA
129.222.5.37,206.224.68.29,ashnvax2,129.222.5.0/24,US,US-VA
143.105.2.94,206.224.68.25,ashnvax2,143.105.2.0/24,US,US-VA
98.97.155.46,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
216.234.196.253,,ashnvax2,216.234.196.0/24,US,US-VA
216.234.206.162,206.224.68.31,ashnvax2,216.234.206.0/24,US,US-VA
129.222.4.189,206.224.68.21,ashnvax2,129.222.4.0/24,US,US-VA
143.105.2.109,206.224.68.19,ashnvax2,143.105.2.0/24,US,US-VA
216.234.207.115,206.224.68.25,ashnvax2,216.234.207.0/24,US,US-VA
143.105.51.223,206.224.68.19,ashnvax2,143.105.51.0/24,US,US-VA
143.105.2.58,206.224.68.19,ashnvax2,143.105.2.0/24,US,US-VA
216.234.207.131,206.224.68.29,ashnvax2,216.234.207.0/24,US,US-VA
129.222.4.6,,ashnvax2,129.222.4.0/24,US,US-VA
129.222.5.114,,ashnvax2,129.222.5.0/24,US,US-VA
216.234.196.17,206.224.68.31,ashnvax2,216.234.196.0/24,US,US-VA
129.222.162.99,206.224.68.25,ashnvax2,129.222.162.0/24,US,US-VA
143.105.2.178,206.224.68.19,ashnvax2,143.105.2.0/24,US,US-VA
129.222.7.236,206.224.68.19,ashnvax2,129.222.7.0/24,US,US-VA
129.222.7.161,206.224.68.31,ashnvax2,129.222.7.0/24,US,US-VA
216.234.206.71,206.224.68.25,ashnvax2,216.234.206.0/24,US,US-VA
129.222.6.212,,ashnvax2,129.222.6.0/24,US,US-VA
129.222.6.23,206.224.68.25,ashnvax2,129.222.6.0/24,US,US-VA
129.222.5.207,206.224.68.29,ashnvax2,129.222.5.0/24,US,US-VA
216.234.207.120,206.224.68.19,ashnvax2,216.234.207.0/24,US,US-VA
216.234.206.11,206.224.68.25,ashnvax2,216.234.206.0/24,US,US-VA
216.234.196.145,,ashnvax2,216.234.196.0/24,US,US-VA
98.97.155.47,,ashnvax2,98.97.155.0/24,US,US-VA
143.105.51.60,,ashnvax2,143.105.51.0/24,US,US-VA
216.234.206.155,206.224.68.19,ashnvax2,216.234.206.0/24,US,US-VA
98.97.152.202,206.224.68.19,ashnvax2,98.97.152.0/24,US,US-VA
129.222.5.51,206.224.68.29,ashnvax2,129.222.5.0/24,US,US-VA
129.222.4.207,206.224.68.25,ashnvax2,129.222.4.0/24,US,US-VA
98.97.152.139,206.224.68.21,ashnvax2,98.97.152.0/24,US,US-VA
216.234.206.226,206.224.68.21,ashnvax2,216.234.206.0/24,US,US-VA
129.222.7.86,,ashnvax2,129.222.7.0/24,US,US-VA
216.234.206.14,206.224.68.25,ashnvax2,216.234.206.0/24,US,US-VA
129.222.162.231,206.224.68.29,ashnvax2,129.222.162.0/24,US,US-VA
216.234.207.228,206.224.68.29,ashnvax2,216.234.207.0/24,US,US-VA
98.97.155.241,206.224.68.21,ashnvax2,98.97.155.0/24,US,US-VA
129.222.5.150,206.224.68.31,ashnvax2,129.222.5.0/24,US,US-VA
129.222.5.123,206.224.68.25,ashnvax2,129.222.5.0/24,US,US-VA
216.234.206.79,,ashnvax2,216.234.206.0/24,US,US-VA
129.222.5.78,206.224.68.25,ashnvax2,129.222.5.0/24,US,US-VA
216.234.206.181,206.224.68.19,ashnvax2,216.234.206.0/24,US,US-VA
129.222.7.158,,ashnvax2,129.222.7.0/24,US,US-VA
143.105.51.184,206.224.68.21,ashnvax2,143.105.51.0/24,US,US-VA
98.97.155.172,,ashnvax2,98.97.155.0/24,US,US-VA
216.234.206.3,206.224.68.25,ashnvax2,216.234.206.0/24,US,US-VA
98.97.152.233,206.224.68.21,ashnvax2,98.97.152.0/24,US,US-VA
