seq,dst,sec_last_ip,ip_at_ttl_seclast,start_time,rtt_seclast,rtt_endpoint,dns_trunc,subnet,country,region,city,sat_rtt
192,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:48:25,62.788,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
219,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:48:52,63.591,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
224,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:48:57,62.758,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
230,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:03,62.496,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
239,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:12,62.474,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
240,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:13,62.646,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
241,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:14,62.434,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
242,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:15,62.509,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
243,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:16,62.453,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
244,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:17,62.733,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
245,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:18,62.718,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
246,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:18,62.486,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
247,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:20,62.489,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
248,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:21,62.518,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
249,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:22,62.482,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
250,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:23,62.789,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
251,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:24,62.424,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
252,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:25,62.608,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
253,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:26,62.545,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
254,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:27,62.489,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
255,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:28,62.597,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
256,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:29,62.514,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
257,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:30,62.423,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
258,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:31,62.524,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
259,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:32,62.585,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
260,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:33,62.523,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
261,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:34,62.492,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
262,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:35,62.508,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
263,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:36,62.487,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
264,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:37,62.592,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
265,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:38,62.485,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
266,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:39,62.674,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
267,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:40,62.82,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
268,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:41,62.462,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
269,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:42,62.687,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
270,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:43,62.488,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
271,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:44,62.421,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
272,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:45,62.538,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
273,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:46,62.49,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
274,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:47,62.438,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
275,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:48,62.595,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
276,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:49,62.461,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
277,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:50,62.621,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
278,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:49:51,62.509,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
295,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:50:08,62.731,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
299,129.222.5.64,206.224.68.31,206.224.68.31,2025-05-27 12:50:12,62.656,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
