seq,dst,sec_last_ip,ip_at_ttl_seclast,start_time,rtt_seclast,rtt_endpoint,dns_trunc,subnet,country,region,city,sat_rtt
174,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:06,65.639,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
175,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:07,65.536,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
176,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:08,65.515,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
177,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:09,65.404,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
194,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:26,65.498,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
209,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:41,65.437,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
227,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:48:59,67.894,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
240,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:13,65.48,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
241,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:13,65.764,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
242,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:14,67.061,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
243,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:15,65.548,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
244,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:16,65.5,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
245,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:17,65.445,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
246,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:19,65.518,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
247,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:20,65.405,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
248,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:20,65.54,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
249,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:21,65.706,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
250,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:22,65.586,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
251,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:24,65.385,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
252,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:24,65.554,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
253,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:25,65.441,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
254,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:26,65.418,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
255,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:27,65.492,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
256,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:28,65.484,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
257,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:29,65.493,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
258,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:31,65.442,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
259,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:31,65.566,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
260,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:33,65.465,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
261,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:33,65.549,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
262,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:35,65.54,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
263,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:36,65.521,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
264,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:37,65.493,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
265,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:37,65.508,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
266,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:38,65.486,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
267,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:40,65.496,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
268,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:40,65.486,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
269,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:41,65.499,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
270,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:43,65.415,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
271,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:44,66.022,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
272,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:44,65.602,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
273,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:45,65.432,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
274,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:46,65.502,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
275,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:48,74.778,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
276,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:48,65.519,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
277,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:50,65.472,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
278,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:51,65.499,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
283,129.222.5.64,206.224.68.19,206.224.68.19,2025-05-27 12:49:55,65.557,,ashnvax2,129.222.5.0/24,US,US-VA,Ashburn,
